year,district,household,pop,sex_ratio,district_area,density,in,out,family_pop,social_rate,growth,g_ave,g_rate,marry_rate
2015,石碇,3368,7865,1.2261534106991223,144.3498,54,12,32,2.33521377672209,-20,-10,7860.0,-0.0012722646310432,4.32597493479229
2015,石門,4285,12730,1.0868852459016394,51.2645,247,87,112,2.970828471411902,-25,-89,12685.5,-0.0070158842773245,4.80807125403957
2015,萬華,78148,194833,0.9768961493582264,8.8522,21954,9111,9955,2.493128422992271,-844,-494,194586.0,-0.0025387232380541,7.07
2015,萬里,7376,22687,1.015726343847179,63.3766,357,74,120,3.0757863340564,-46,-45,22664.5,-0.0019854839065498,5.95611285266458
2015,蘆洲,68964,199739,0.9690164726294102,7.4351,26912,609,719,2.896279218142799,-110,356,199917.0,0.0017807390066877,7.13276394602909
2015,貢寮,4428,13097,1.0448087431693989,99.9734,129,27,48,2.95776874435411,-21,-237,12978.5,-0.0182609700658781,4.15784408084697
2015,金山,7011,22396,0.9833510449876018,49.2132,452,58,66,3.194408786193125,-8,-136,22328.0,-0.0060910068075958,5.03089143865843
2015,雙溪,3837,9413,1.1619200734956363,146.2484,63,35,43,2.45321866041178,-8,-168,9329.0,-0.0180083610247614,4.17223856646162
2015,鶯歌,29284,89136,1.0030561797752808,21.1248,4164,266,499,3.043846469061604,-233,-1171,88550.5,-0.0132240924670103,7.81744238590149
2016,三峽,41190,112775,1.012222321348916,191.4508,596,419,302,2.737921825685846,117,1405,113477.5,0.0123813090700799,6.38
2016,三芝,9360,23452,1.062258177981006,65.9909,354,58,79,2.5055555555555555,-21,-83,23410.5,-0.0035454176544712,4.99402424449377
2016,三重,148541,388386,0.9749110139326757,16.317,23814,1116,1108,2.6146720434088904,8,195,388483.5,0.0005019518203475,6.89550440910752
2016,中和,163074,414356,0.9533300648664956,20.144,20565,1309,1415,2.540907808724873,-106,-90,414311.0,-0.0002172281209043,6.9
2016,中山,99113,231286,0.8752361416282218,13.6821,16901,12845,13872,2.3335586653617586,-1027,-39,231266.5,-0.0001686366161981,7.16
2016,中正,65275,162549,0.9147289561099724,7.6071,21086,9774,12345,2.490218307162007,-2571,-2146,161476.0,-0.0132899006663528,5.87
2016,五股,29996,82983,1.017480307303316,34.8632,2413,332,269,2.766468862515002,63,1151,83558.5,0.0137747805429728,7.08740130614102
2016,信義,89499,229139,0.9194086111576478,11.2077,20327,9814,11977,2.56024089654633,-2163,-1316,228481.0,-0.0057597787124531,7.08
2016,內湖,106574,287726,0.9186849826620432,31.5787,9112,12154,13698,2.6997766809916115,-1544,7,287729.5,2.4328405672689107e-05,7.02
2016,八里,14035,37711,0.9956077684288512,39.4933,966,146,103,2.6869255432846457,43,456,37939.0,0.0120192941300508,6.46054453161052
2016,北投,95724,257922,0.933491757685705,56.8216,4529,10229,11682,2.6944339977435128,-1453,-552,257646.0,-0.0021424745581146,6.51
2016,南港,46452,122296,0.9547655962789507,21.8424,5609,6327,6746,2.6327391716180144,-419,220,122406.0,0.0017972975180955,7.31
2016,土城,85921,238646,0.979594037477292,29.5578,8069,635,726,2.7775049173077595,-91,-146,238573.0,-0.0006119720169507,7.25477417367452
2016,坪林,2496,6503,1.2603406326034063,170.835,38,25,22,2.60536858974359,3,35,6520.5,0.0053676865271068,4.75898065704636
2016,士林,106295,290682,0.9347328345890684,62.3682,4649,11394,13320,2.7346723740533423,-1926,-743,290310.5,-0.0025593287187339,6.92
2016,大同,51522,131029,0.9548689334148924,5.6815,22894,6322,7674,2.5431660261635805,-1352,-958,130550.0,-0.0073381846036001,6.79
2016,大安,120378,312909,0.878915796489669,11.3614,27418,16277,18658,2.5993869311668245,-2381,-1403,312207.5,-0.0044938062026056,5.8
2016,平溪,2351,4872,1.2358880220284534,71.3382,67,12,33,2.072309655465759,-21,-94,4825.0,-0.019481865284974,4.14421881475342
2016,文山,104436,275433,0.9268864294609004,31.509,8735,11921,13073,2.637337699643801,-1152,-202,275332.0,-0.0007336597271657,6.16
2016,新店,123906,300283,0.9354366741862712,120.2255,2505,977,1131,2.423474246606298,-154,885,300725.5,0.0029428831276363,5.00288628054647
2016,新莊,149167,413443,0.9601608169806044,19.7383,20982,1098,1160,2.771678722505648,-62,713,413799.5,0.0017230566977485,6.99058132775118
2016,松山,80250,209689,0.8916463689670726,9.2878,22430,10732,12756,2.6129470404984425,-2024,-1363,209007.5,-0.0065212970826405,5.99
2016,板橋,205664,554008,0.9578744999363876,23.1373,23870,1372,1712,2.693752917379804,-340,-1723,553146.5,-0.0031149071719698,6.79246033288117
2016,林口,39211,100554,0.9590476932668328,54.1519,1906,535,317,2.5644334497972507,218,2665,101886.5,0.0261565565604864,6.77902824103867
2016,樹林,65445,184329,0.9989480875798424,33.1288,5566,607,687,2.816548246619299,-80,71,184364.5,0.0003851066772616,6.49398208051561
2016,永和,90684,225353,0.9065881536756432,5.7138,39203,734,845,2.485035949009748,-111,-1354,224676.0,-0.0060264558742366,6.15031330105383
2016,汐止,85046,196150,0.9572722918496048,71.2354,2776,711,648,2.306398890012464,63,1599,196949.5,0.0081188324925932,6.31321788728138
2016,泰山,28018,78801,0.989572550306764,19.1603,4114,264,226,2.81251338425298,38,16,78809.0,0.0002030224974304,6.84340164038496
2016,淡水,70441,162441,0.9268023628211516,70.6565,2346,686,424,2.3060575517099418,262,3324,164103.0,0.020255571196139,6.82955979
2016,深坑,9463,23614,1.003563549974546,20.5787,1151,59,86,2.4954031491070485,-27,69,23648.5,0.0029177326257479,5.71102227298687
2016,烏來,1833,6182,0.989060489060489,321.1306,19,13,21,3.3726132024004363,-8,30,6197.0,0.0048410521219945,6.45
2016,瑞芳,16127,40922,1.0208395061728397,70.7336,574,105,132,2.537483722949092,-27,-322,40761.0,-0.0078997080542675,5.64
2016,石碇,3375,7857,1.228936170212766,144.3498,54,21,37,2.328,-16,-121,7796.5,-0.0155197845186942,5.00288628054647
2016,石門,4312,12645,1.0760137908389429,51.2645,244,40,41,2.932513914656772,-1,-149,12570.5,-0.0118531482439043,4.61471138162867
2016,萬華,78341,194314,0.9740937906371911,8.8522,21863,9292,10396,2.480361496534382,-1104,-775,193926.5,-0.00399635944546,6.85
2016,萬里,7406,22634,1.016212364154641,63.3766,355,49,86,3.0561706724277613,-37,-144,22562.0,-0.0063824129066572,5.03744349742506
2016,蘆洲,69513,200055,0.9705192860801388,7.4351,26994,558,610,2.877950886884468,-52,647,200378.5,0.0032288893269487,6.6816867391722
2016,貢寮,4406,12858,1.0406284716711631,99.9734,127,27,30,2.918293236495688,-3,-152,12782.0,-0.0118917227350962,3.36384260345772
2016,金山,7035,22273,0.9810548785911234,49.2132,451,44,61,3.166027007818053,-17,-66,22240.0,-0.0029676258992805,5.36204910041656
2016,雙溪,3843,9233,1.1755419415645618,146.2484,62,29,29,2.4025500910746813,0,-159,9153.5,-0.0173704047632053,3.16611168731918
2016,鶯歌,29448,87931,1.0070072126358076,21.1248,4129,222,304,2.985975278456941,-82,-700,87581.0,-0.0079926011349493,7.10061873558757
2017,三峽,42004,114215,1.007752210522615,191.4508,600,353,315,2.7191457956385108,38,711,114570.5,0.0062057859571181,5.875009821
2017,三芝,9435,23349,1.056093694963015,65.9909,352,63,67,2.474721780604133,-4,-149,23274.5,-0.0064018561086167,4.380596534
2017,三重,150147,388544,0.9714139297474744,16.317,23747,970,1102,2.587757331148808,-132,-1060,388014.0,-0.0027318601906116,6.33
2017,中和,164283,414190,0.9498175826762388,20.144,20532,1215,1320,2.521198176317696,-105,-600,413890.0,-0.001449660537824,6.15
2017,中山,99650,231332,0.8736190753879548,13.6821,16862,12411,13555,2.3214450577019567,-1144,-622,231021.0,-0.0026923959293743,6.69
2017,中正,65013,160484,0.91380461743942,7.6071,20981,10315,11526,2.468490917201175,-1211,-876,160046.0,-0.0054734263899129,4.94
2017,五股,30771,84171,1.0185376148109069,34.8632,2436,322,250,2.735400214487667,72,748,84545.0,0.0088473593944053,6.021780152
2017,信義,89502,227666,0.9163482096261004,11.2077,20143,9289,11918,2.543697347545306,-2629,-1913,226709.5,-0.0084381113274917,6.67
2017,內湖,107228,287861,0.9169774380011187,31.5787,9113,11820,13286,2.684569328906629,-1466,-90,287816.0,-0.0003126997804152,6.44
